Angle Raw,Bus Voltage (V),Shunt Voltage (mV),Current (mA),Angle Raw.1,Bus Voltage (V).1,Shunt Voltage (mV).1,Current (mA).1,Angle Raw.2,Bus Voltage (V).2,Shunt Voltage (mV).2,Current (mA).2,Angle Raw.3,Bus Voltage (V).3,Shunt Voltage (mV).3,Current (mA).3,Angle Raw.4,Bus Voltage (V).4,Shunt Voltage (mV).4,Current (mA).4,Angle Raw.5,Bus Voltage (V).5,Shunt Voltage (mV).5,Current (mA).5,Angle Raw.6,Bus Voltage (V).6,Shunt Voltage (mV).6,Current (mA).6,Angle Raw,Bus Voltage (V),Shunt Voltage (mV),Current (mA)
346.03,6.94,0.03,0.3,76.03,3.24,8.77,98.9,176.22,9.8,8.07,85.0,326.07,10.34,10.34,170.2,51.15,7.48,16.34,179.8,150.73,5.06,14.85,102.9,166.55,1.66,16.62,122.9,258.75,6.65,15.91,144.9
346.03,8.95,0.03,0.2,62.14,8.78,9.85,103.6,142.38,2.86,6.18,150.8,266.22,0.0,6.49,121.2,333.81,0.0,9.9,127.4,50.27,0.0,9.99,138.1,47.02,0.0,15.87,123.2,119.09,0.0,11.73,130.0
346.03,2.61,0.02,0.1,47.64,4.36,6.88,81.4,107.84,0.0,12.25,77.1,210.32,0.97,17.05,88.1,258.31,0.93,13.25,115.1,316.49,3.46,12.69,144.8,290.74,9.83,14.1,136.8,335.92,3.22,14.7,141.9
346.03,0.0,0.02,0.6,33.13,0.0,15.15,71.5,71.89,2.9,6.06,87.9,155.65,9.79,6.44,143.3,179.3,7.29,8.81,97.4,216.65,8.16,17.01,108.2,171.74,1.54,15.83,101.7,194.15,4.66,14.88,155.5
346.03,0.1,0.03,0.2,18.28,0.0,7.27,143.8,38.85,10.3,9.98,134.3,100.55,2.37,16.53,110.6,107.67,1.94,10.04,57.7,117.69,0.0,8.56,81.1,52.03,0.0,17.8,141.1,54.23,0.0,9.85,111.3
346.03,7.76,0.03,0.3,3.52,2.72,10.3,85.3,2.72,3.48,15.79,162.7,41.66,0.0,11.63,130.6,29.71,0.0,7.78,82.8,23.47,0.0,12.22,90.4,295.49,10.64,15.9,143.7,282.22,3.23,17.48,148.6
346.03,8.72,0.03,0.3,349.45,6.87,15.83,109.3,328.62,0.0,10.13,55.9,344.97,11.5,14.67,93.5,319.83,2.9,11.72,137.5,290.39,9.8,17.23,103.4,172.35,0.0,9.2,96.1,141.33,7.49,13.65,168.7
345.94,3.37,0.03,0.3,333.72,0.0,10.01,67.1,293.47,10.49,7.38,174.4,287.14,2.32,11.38,181.8,240.38,5.11,16.19,164.1,190.37,2.26,18.08,131.5,62.14,0.0,13.54,179.5,0.0,0.94,16.76,105.1
346.03,0.0,0.02,-0.2,318.69,3.16,14.75,110.0,255.85,2.86,13.37,74.3,229.31,0.1,11.74,74.2,162.6,0.0,12.06,140.7,91.32,0.0,12.59,140.6,305.51,12.34,14.51,120.3,228.25,0.42,13.65,136.7
346.03,0.66,0.02,0.2,303.05,6.43,12.75,85.0,221.13,0.0,7.58,93.4,174.46,12.58,10.05,146.0,83.58,5.7,18.64,156.4,353.41,11.04,10.95,191.1,181.67,2.06,18.06,95.0,87.71,10.42,16.67,150.7
346.03,8.6,0.02,0.3,287.84,0.0,7.88,73.9,187.03,3.27,16.07,162.0,114.87,0.0,6.49,109.0,6.94,7.78,16.72,186.3,249.17,2.15,10.37,99.4,67.06,0.0,12.75,194.5,304.72,0.0,13.26,140.1
346.03,6.74,0.03,0.2,272.99,0.09,9.72,153.0,151.17,5.7,12.56,97.8,58.54,0.0,13.87,168.9,293.29,0.0,12.25,146.3,154.69,0.13,13.62,118.5,310.25,11.64,12.7,175.2,163.83,3.41,16.12,151.0
346.03,2.48,0.03,0.3,257.43,11.22,6.69,79.4,116.19,0.0,4.17,118.7,1.23,3.71,15.14,63.8,214.72,1.17,14.87,163.5,53.79,11.64,13.67,176.3,186.68,1.82,18.65,93.5,22.24,8.32,16.62,173.5
346.03,0.0,0.02,0.1,241.7,3.02,9.23,87.7,80.33,0.43,12.35,147.3,310.43,6.34,9.02,123.8,136.49,5.63,14.03,123.6,312.19,2.07,18.6,60.7,72.6,0.0,13.76,194.2,246.18,0.0,15.36,101.5
